Biography,Category,Spacy_NER,Stanza_NER
"David McDowell Brown (April 16, 1956 – February 1, 2003) was a United States Navy captain and a NASA astronaut. He died on his first spaceflight, when the Space Shuttle Columbia (STS-107) disintegrated during orbital reentry into the Earth's atmosphere. Brown became an astronaut in 1996 but had not served on a space mission before the Columbia disaster. Brown was posthumously awarded the Congressional Space Medal of Honor.",Astronauts,"[('Barry Eugene ""Butch""', 'PERSON'), ('December 29, 1962', 'DATE'), ('NASA', 'ORG'), ('United States Navy', 'ORG'), ('two', 'CARDINAL'), ('first', 'ORDINAL'), ('11-day', 'DATE'), ('November 2009', 'DATE'), ('the International Space Station', 'ORG'), ('Wilmore', 'PERSON'), ('five', 'CARDINAL'), ('Space Shuttle Atlantis', 'PRODUCT'), ('Expedition 41', 'LAW'), ('the International Space Station', 'ORG'), ('NASA', 'ORG'), ('July 2000', 'DATE'), ('Wilmore', 'PERSON'), ('Navy', 'ORG'), ('the T-45 Goshawk', 'PRODUCT')]","[('Barry Eugene "" Butch "" Wilmore', 'PERSON'), ('December 29 , 1962', 'DATE'), ('NASA', 'ORG'), ('United States Navy', 'ORG'), ('two', 'CARDINAL'), ('first', 'ORDINAL'), ('11 - day', 'DATE'), ('Space Shuttle', 'ORG'), ('November 2009', 'DATE'), ('the International Space Station', 'FAC'), ('Wilmore', 'ORG'), ('five', 'CARDINAL'), ('Space Shuttle Atlantis', 'PRODUCT'), ('STS-129', 'PRODUCT'), ('Expedition 41', 'PRODUCT'), ('the International Space Station', 'FAC'), ('NASA', 'ORG'), ('July 2000', 'DATE'), ('Wilmore', 'PERSON'), ('Navy', 'ORG'), ('T-45 Goshawk', 'PRODUCT')]"
"David Mathieson ""Dave"" Walker (May 20, 1944 – April 23, 2001), (Capt, USN), was an American naval officer and aviator, fighter pilot, test pilot, and a former NASA astronaut. He flew aboard four Space Shuttle missions in the 1980s and 1990s.",Astronauts,"[('Santiago Santamaria', 'PERSON'), ('26 July 1957', 'DATE'), ('16 February 2011', 'DATE'), ('Santi Santamaria', 'ORG'), ('Spanish', 'NORP'), ('first', 'ORDINAL'), ('Catalan', 'NORP'), ('three', 'CARDINAL'), ('the Michelin Guide', 'ORG'), ('1994', 'DATE'), ('second', 'ORDINAL'), ('Sant Celoni', 'PERSON'), ('two', 'CARDINAL'), ('Michelin', 'PERSON'), ('Catalan', 'NORP'), ('Mediterranean', 'LOC'), ('Santamaria', 'GPE'), ('Spanish', 'NORP'), ('Ferran Adrià', 'ORG'), ('Santamaria', 'GPE'), ('16 February 2011', 'DATE'), ('Marina Bay Sands', 'LOC'), ('Singapore', 'GPE')]","[('Santiago Santamaria', 'PERSON'), ('Puig', 'PERSON'), ('26 July 1957', 'DATE'), ('16 February 2011', 'DATE'), ('Santi Santamaria', 'PERSON'), ('Catalan', 'NORP'), ('Spanish', 'NORP'), ('Catalan', 'NORP'), ('first', 'ORDINAL'), ('Catalan', 'NORP'), ('three', 'CARDINAL'), ('the Michelin Guide', 'WORK_OF_ART'), ('Can Fabes', 'WORK_OF_ART'), ('1994', 'DATE'), ('second', 'ORDINAL'), ('Sant Celoni', 'WORK_OF_ART'), ('two', 'CARDINAL'), ('Michelin', 'ORG'), ('Catalan', 'NORP'), ('Mediterranean', 'NORP'), ('Santamaria', 'PERSON'), ('Spanish', 'NORP'), ('Ferran Adrià', 'PERSON'), ('Santamaria', 'PERSON'), ('16 February 2011', 'DATE'), ('Marina Bay Sands', 'GPE'), ('Singapore', 'GPE')]"
"David Saint-Jacques OQ FRCGS (in Quebec: [davɪd sẽɪ̯̃nʒã(ŋ)k̚], French pronunciation: ​[david sɛ̃ʒak]; born January 6, 1970) is a Canadian astronaut with the Canadian Space Agency (CSA). He is also an astrophysicist, engineer, and a physician. In December 2018, he launched to the International Space Station, as Flight Engineer on Expeditions 57, 58 and 59; he returned to Earth on June 25, 2019.",Astronauts,"[('Reinhard Alfred Furrer', 'PERSON'), ('25 November 1940', 'DATE'), ('9 September 1995', 'DATE'), ('German', 'NORP'), ('Wörgl', 'GPE'), ('Ostmark', 'PERSON'), ('Austria', 'GPE'), ('World War II', 'EVENT'), ('Austria', 'GPE'), ('Kempten', 'PERSON'), ('Allgäu', 'PERSON'), ('the University of Kiel', 'ORG'), ('the Free University of Berlin', 'ORG'), ('1969', 'DATE'), ('1972', 'DATE'), ('Berlin', 'GPE'), ('145', 'CARDINAL'), ('57', 'CARDINAL'), ('the Berlin Wall', 'FAC'), ('57', 'CARDINAL'), ('East Berlin', 'GPE'), ('West', 'LOC'), ('1974', 'DATE'), ('Stuttgart', 'GPE'), ('1979', 'DATE'), ('the University of Chicago', 'ORG'), ('1981', 'DATE'), ('the Argonne National Laboratory', 'FAC'), ('Chicago', 'GPE'), ('USA', 'GPE'), ('1977', 'DATE'), ('first', 'ORDINAL'), ('Spacelab', 'PERSON'), ('Ulf Merbold', 'LOC'), ('1982', 'DATE'), ('first', 'ORDINAL'), ('German Spacelab', 'NORP'), ('first', 'ORDINAL'), ('Furrer', 'PERSON'), ('two', 'CARDINAL'), ('STS-61-A', 'ORG'), ('30 October 1985', 'DATE'), ('Ernst Messerschmid', 'PERSON'), ('Wubbo Ockels', 'ORG'), ('Netherlands', 'GPE'), ('140', 'CARDINAL'), ('1985', 'DATE'), ('1987', 'DATE'), ('the Institute of Space Sciences', 'ORG'), ('the Free University of Berlin', 'ORG'), ('1974', 'DATE'), ('one', 'CARDINAL'), ('Greenland', 'GPE'), ('1979', 'DATE'), ('Germany', 'GPE'), ('Quito', 'GPE'), ('Ecuador', 'GPE'), ('1981', 'DATE'), ('the Johannisthal Air Field', 'ORG'), ('Berlin', 'GPE'), ('Gerd Kahdemann', 'PERSON'), ('Bf 108', 'FAC'), ('shortly after 6:00 p.m.', 'TIME'), ('Kahdemann', 'PERSON')]","[('Reinhard Alfred Furrer', 'PERSON'), ('25 November 1940', 'DATE'), ('9 September 1995', 'DATE'), ('German', 'NORP'), ('Furrer', 'PERSON'), ('Wörgl , Ostmark', 'GPE'), ('Austria', 'GPE'), ('World War II', 'EVENT'), ('Austria', 'GPE'), ('Kempten', 'GPE'), ('Allgäu', 'GPE'), ('Bavaria', 'GPE'), ('Furrer', 'PERSON'), ('the University of Kiel', 'ORG'), ('the Free University of Berlin', 'ORG'), ('1969', 'DATE'), ('1972', 'DATE'), ('Berlin', 'GPE'), ('145 m', 'QUANTITY'), ('Tunnel 57 ""', 'FAC'), ('the Berlin Wall', 'FAC'), ('57', 'CARDINAL'), ('East Berlin', 'GPE'), ('West', 'LOC'), ('1974', 'DATE'), ('Stuttgart', 'GPE'), ('1979', 'DATE'), ('1980–1981', 'DATE'), ('the University of Chicago', 'ORG'), ('1981', 'DATE'), ('the Argonne National Laboratory', 'ORG'), ('Chicago', 'GPE'), ('USA', 'GPE'), ('1977', 'DATE'), ('Furrer', 'PERSON'), ('first', 'ORDINAL'), ('Spacelab', 'PRODUCT'), ('Ulf Merbold', 'PERSON'), ('1982', 'DATE'), ('first', 'ORDINAL'), ('German', 'NORP'), ('Spacelab', 'PRODUCT'), ('first', 'ORDINAL'), ('Furrer', 'PERSON'), ('one', 'CARDINAL'), ('two', 'CARDINAL'), ('STS-61 - A', 'FAC'), ('30 October 1985', 'DATE'), ('Ernst Messerschmid', 'PERSON'), ('Wubbo Ockels', 'PERSON'), ('Netherlands', 'GPE'), ('Furrer', 'PERSON'), ('Sinn', 'NORP'), ('140', 'CARDINAL'), ('STS-61 - A mission', 'EVENT'), ('1985', 'DATE'), ('1987', 'DATE'), ('the Institute of Space Sciences', 'ORG'), ('the Free University of Berlin', 'ORG'), ('Furrer', 'PERSON'), ('1974', 'DATE'), ('one', 'CARDINAL'), ('Greenland', 'LOC'), ('1979', 'DATE'), ('Germany', 'GPE'), ('Quito , Ecuador', 'GPE'), ('1981', 'DATE'), ('the Johannisthal Air Field', 'FAC'), ('Berlin', 'GPE'), ('Gerd Kahdemann', 'PERSON'), ('Bf 108', 'PRODUCT'), ('6:00 p.m.', 'TIME'), ('Kahdemann', 'PERSON'), ('Furrer', 'PERSON')]"
"David Randolph Scott (born June 6, 1932) is an American retired test pilot and NASA astronaut who was the seventh person to walk on the Moon. Selected as part of the third group of astronauts in 1963, Scott flew to space three times and commanded Apollo 15, the fourth lunar landing; he is one of four surviving Moon walkers and the last surviving crew member of Apollo 15. Before becoming an astronaut, Scott graduated from the United States Military Academy at West Point and joined the Air Force. After serving as a fighter pilot in Europe, he graduated from the Air Force Experimental Test Pilot School (Class 62C) and the Aerospace Research Pilot School (Class IV). Scott retired from the Air Force in 1975 with the rank of colonel, and more than 5,600 hours of logged flying time. As an astronaut, Scott made his first flight into space as a pilot of the Gemini 8 mission, along with Neil Armstrong, in March 1966, spending just under eleven hours in low Earth orbit. He would have been the second American astronaut to walk in space had Gemini 8 not made an emergency abort. Scott then spent ten days in orbit in March 1969 as Command Module Pilot of Apollo 9, a mission that extensively tested the Apollo spacecraft, along with Commander James McDivitt and Lunar Module Pilot Rusty Schweickart. After backing up Apollo 12, Scott made his third and final flight into space as commander of the Apollo 15 mission, the fourth crewed lunar landing and the first J mission. Scott and James Irwin remained on the Moon for three days. Following their return to Earth, Scott and his crewmates fell from favor with NASA after it was disclosed that they had carried four hundred unauthorized postal covers to the Moon. After serving as director of NASA's Dryden Flight Research Center in California, Scott retired from the agency in 1977. Since then, he has worked on a number of space-related projects and served as a consultant for several films about the space program, including Apollo 13.",Astronauts,"[('Ann Kim', 'PERSON'), ('James Beard Award', 'PERSON'), ('Minneapolis', 'GPE'), ('Minnesota', 'GPE')]","[('Ann Kim', 'PERSON'), ('James Beard Award', 'ORG'), ('Minneapolis', 'GPE'), ('Minnesota', 'GPE')]"
"David Alexander Wolf (born August 23, 1956) is an American astronaut, medical doctor and electrical engineer. Wolf has been to space four times. Three of his spaceflights were short-duration Space Shuttle missions, the first of which was STS-58 in 1993, and his most recent spaceflight was STS-127 in 2009. Wolf also took part in a long-duration mission aboard the Russian space station Mir which lasted 128 days, and occurred during Mir EO-24. He was brought to Mir aboard STS-86 in September 1997, and landed aboard STS-89 in January 1998. In total Wolf has logged more than 4,040 hours in space. He is also a veteran of 7 spacewalks totaling 41hrs 17min in both Russian and American spacesuits.",Astronauts,"[('Roy Choi', 'PERSON'), ('February 24, 1970', 'DATE'), ('Korean-American', 'NORP'), ('Korean-Mexican', 'NORP'), ('Kogi', 'PERSON'), ('Choi', 'ORG'), ('one', 'CARDINAL'), ('2019', 'DATE'), ('Choi', 'ORG'), ('Netflix', 'GPE'), ('Jon Favreau', 'PERSON'), ('The Chef Show', 'WORK_OF_ART')]","[('Roy Choi', 'PERSON'), ('February 24 , 1970', 'DATE'), ('Korean - American', 'NORP'), ('Korean - Mexican', 'NORP'), ('Kogi', 'PERSON'), ('Choi', 'PERSON'), ('one', 'CARDINAL'), ('2019', 'DATE'), ('Choi', 'PERSON'), ('Netflix', 'ORG'), ('Jon Favreau', 'PERSON'), ('The Chef Show', 'WORK_OF_ART')]"
"Donald Kent ""Deke"" Slayton (March 1, 1924 – June 13, 1993) was a United States Air Force pilot, aeronautical engineer, and test pilot who was selected as one of the original NASA Mercury Seven astronauts. He went on to become NASA's first Chief of the Astronaut Office and Director of Flight Crew Operations, responsible for NASA crew assignments. Slayton joined the U.S. Army Air Forces during World War II, and flew in Europe and the Pacific. He left the Army after World War II, went on to receive a Bachelor of Science degree in aeronautical engineering from University of Minnesota in 1949, and later joined the Minnesota Air National Guard after working for Boeing as an aeronautical engineer. He joined the United States Air Force, and attended the U.S. Air Force Test Pilot School in 1955. In 1959, he applied to, and was selected as one of the Mercury Seven, NASA's first class of astronauts. Slayton was scheduled to pilot the second U.S. crewed orbital spaceflight, but was grounded in 1962 by atrial fibrillation, an irregular heart rhythm. In March 1972, he was medically cleared to fly and was the docking module pilot of the 1975 Apollo–Soyuz Test Project (ASTP). Slayton continued to work at NASA until 1982. He also helped develop the Space Shuttle. He died from a brain tumor on June 13, 1993, aged 69.",Astronauts,"[('Carl Erwin', 'PERSON'), ('USAF', 'ORG'), ('Ret', 'ORG'), ('6 September 1955', 'DATE'), ('NASA', 'ORG'), (""Orbital Sciences Corporation's"", 'ORG'), ('Advanced Programs Group', 'ORG'), ('Human Space Flight Operations', 'ORG'), ('the Exploration Systems Mission Directorate', 'ORG'), ('NASA Headquarters', 'ORG'), ('Washington', 'GPE'), ('D.C.', 'GPE'), ('the Advanced Capabilities Division', 'ORG'), ('the Exploration Systems Mission Directorate', 'ORG'), ('Human Research, Technology Development', 'ORG'), ('the Lunar Robotic Exploration Programs', 'ORG'), ('the Vision for Space Exploration', 'ORG')]","[('Carl Erwin Walz', 'PERSON'), ('USAF', 'ORG'), ('Ret .', 'GPE'), ('6 September 1955', 'DATE'), ('NASA', 'ORG'), (""Orbital Sciences Corporation 's"", 'ORG'), ('Advanced Programs Group', 'ORG'), ('Human Space Flight Operations', 'ORG'), ('Walz', 'PERSON'), ('the Exploration Systems Mission Directorate', 'ORG'), ('NASA Headquarters', 'ORG'), ('Washington', 'GPE'), ('D.C.', 'GPE'), ('the Advanced Capabilities Division', 'ORG'), ('the Exploration Systems Mission Directorate', 'ORG')]"
Deng Qingming (simplified Chinese: 邓清明; traditional Chinese: 鄧清明; pinyin: Dèng Qīngmíng; born 16 March 1966) is a Chinese People's Liberation Army Astronaut Corps (PLAAC) taikonaut selected as part of the Shenzhou program.,Astronauts,"[('Bob Blumer', 'PERSON'), ('Food Network', 'ORG'), ('The Surreal Gourmet', 'ORG'), ('Glutton', 'ORG'), (""World's Weirdest Restaurants"", 'ORG'), ('seven', 'CARDINAL'), ('Flavorbomb', 'NORP'), ('Blumer', 'PERSON'), ('Montreal', 'GPE'), ('Quebec', 'GPE'), ('Los Angeles', 'GPE'), ('California', 'GPE'), ('Bob', 'PERSON'), ('Second Harvest', 'ORG'), ('Toronto', 'GPE'), ('Love Food Hate Waste', 'WORK_OF_ART'), ('Canadian', 'NORP'), ('zero', 'CARDINAL'), ('The Way', 'WORK_OF_ART')]","[('Bob Blumer', 'PERSON'), ('Food Network', 'ORG'), ('The Surreal Gourmet', 'WORK_OF_ART'), ('Glutton for Punishment', 'WORK_OF_ART'), (""World 's Weirdest Restaurants"", 'WORK_OF_ART'), ('seven', 'CARDINAL'), ('Flavorbomb : A Rogue Guide to Making Everything Taste Better', 'WORK_OF_ART'), ('Blumer', 'PERSON'), ('Montreal , Quebec', 'GPE'), ('Los Angeles', 'GPE'), ('California', 'GPE'), ('Bob', 'PERSON'), ('Second Harvest', 'ORG'), ('Toronto', 'GPE'), ('Love Food Hate Waste', 'WORK_OF_ART'), ('zero', 'CARDINAL'), ('The Way to the Heart', 'WORK_OF_ART')]"
"Denis Vladimirovich Matveev (Russian Cyrillic: Денис Владимирович Матвеев; born April 25, 1983, in Leningrad, RSFSR, now St. Petersburg, Russia) is a Russian cosmonaut.",Astronauts,"[('Bill Harmsen', 'PERSON'), ('June 20, 1912', 'DATE'), ('Saint Paul', 'GPE'), ('Minnesota', 'GPE'), ('April 10, 2002', 'DATE'), ('Wheat Ridge', 'GPE'), ('Colorado', 'GPE')]","[('Bill Harmsen', 'PERSON'), ('June 20 , 1912', 'DATE'), ('Saint Paul', 'GPE'), ('Minnesota', 'GPE'), ('April 10 , 2002', 'DATE'), ('Wheat Ridge', 'GPE'), ('Colorado', 'GPE'), ('one', 'CARDINAL'), ('Jolly Rancher', 'ORG')]"
"Deniz Melissa Burnham (born October 1, 1985) is a lieutenant in the United States Navy Reserve and NASA astronaut candidate.",Astronauts,"[('Morgan Murphy', 'ORG'), ('the U.S. Senate', 'ORG'), ('U.S.', 'GPE'), ('Defense', 'ORG'), ('United States', 'GPE'), ('the United States Navy Reserve', 'ORG')]","[('Morgan Murphy', 'PERSON'), ('the U.S. Senate', 'ORG'), ('U.S.', 'GPE'), ('Defense', 'ORG'), ('United States', 'GPE'), ('the United States Navy Reserve', 'ORG')]"
"Dennis Anthony Tito (born August 8, 1940) is an American engineer and entrepreneur. In mid-2001, he became the first space tourist to fund his own trip into space, when he spent nearly eight days in orbit as a crew member of ISS EP-1, a visiting mission to the International Space Station. This mission was launched by the spacecraft Soyuz TM-32, and was landed by Soyuz TM-31.",Astronauts,"[('Pablo Logro', 'PERSON'), ('Boy Logro', 'PERSON'), ('June 29, 1954', 'DATE'), ('Filipino', 'NORP'), ('Idol sa Kusina', 'PERSON'), ('Kusina Master', 'PERSON')]","[('Pablo Logro', 'PERSON'), ('Boy Logro', 'PERSON'), ('Chef Boy', 'WORK_OF_ART'), ('June 29 , 1954', 'DATE'), ('Filipino', 'NORP'), ('Idol sa Kusina', 'WORK_OF_ART'), ('Chef Boy Logro : Kusina Master', 'WORK_OF_ART')]"
"Anna Menon is an American engineer scheduled to fly on Polaris Dawn, a private space mission. Menon worked for NASA for seven years before joining SpaceX, where she works as a lead engineer of space operations.",Astronauts,"[('Denis Vladimirovich Matveev', 'PERSON'), ('Russian', 'NORP'), ('Денис Владимирович Матвеев', 'PERSON'), ('April 25, 1983', 'DATE'), ('Leningrad', 'GPE'), ('RSFSR', 'ORG'), ('St. Petersburg', 'GPE'), ('Russia', 'GPE'), ('Russian', 'NORP')]","[('Denis Vladimirovich Matveev', 'PERSON'), ('Russian', 'NORP'), ('Cyrillic', 'NORP'), ('April 25 , 1983', 'DATE'), ('Leningrad', 'GPE'), ('RSFSR', 'GPE'), ('St. Petersburg', 'GPE'), ('Russia', 'GPE'), ('Russian', 'NORP')]"
"John Oliver Creighton (born April 28, 1943), (Capt, USN, Ret.), is a former NASA astronaut who flew three Space Shuttle missions.",Astronauts,"[('Kim Hee-Tae', 'PERSON'), ('Korean', 'NORP'), ('May 8, 1977', 'DATE'), ('English', 'LANGUAGE'), ('Sam Kim', 'PERSON'), ('Korean', 'NORP'), ('South Korean', 'NORP'), ('Real Men and Please Take Care of My Refrigerator', 'WORK_OF_ART'), ('Sam', 'PERSON'), ('Raymon Cooking Time', 'PERSON'), ('2011 to 2012', 'DATE')]","[('Kim Hee - Tae', 'PERSON'), ('Korean', 'NORP'), ('May 8 , 1977', 'DATE'), ('English', 'LANGUAGE'), ('Sam Kim', 'PERSON'), ('Korean : 샘 킴', 'WORK_OF_ART'), ('South Korean', 'NORP'), ('Real Men and Please Take Care of My Refrigerator', 'WORK_OF_ART'), ('Sam', 'PERSON'), ('Raymon Cooking Time', 'ORG'), ('2011', 'DATE'), ('2012', 'DATE')]"
"John Sumter Bull (September 25, 1934 – August 11, 2008), was an American naval officer and aviator, fighter pilot, test pilot, mechanical and aeronautical engineer, and NASA astronaut.",Astronauts,"[('Sarma Melngailis', 'PERSON'), ('September 10, 1972', 'DATE'), ('American', 'NORP'), ('Pure Food and Wine and One Lucky Duck', 'ORG'), ('New York City', 'GPE'), ('Melngailis', 'PERSON'), (""New York Magazine's"", 'ORG'), ('100', 'CARDINAL'), ('Forbes', 'ORG'), ('All Star New York Eateries', 'ORG'), ('five consecutive years', 'DATE'), ('2016', 'DATE'), ('New York', 'GPE'), ('Melngailis', 'GPE'), ('Tennessee', 'GPE'), ('2016', 'DATE'), ('2017', 'DATE')]","[('Sarma Melngailis', 'PERSON'), ('September 10 , 1972', 'DATE'), ('American', 'NORP'), ('Pure Food and Wine and One Lucky Duck', 'ORG'), ('New York City', 'GPE'), ('Melngailis', 'ORG'), (""New York Magazine 's"", 'ORG'), ('Top 100 Restaurants', 'FAC'), ('Forbes', 'ORG'), ('All Star New York Eateries', 'ORG'), ('five consecutive years', 'DATE'), ('2016', 'DATE'), ('New York', 'GPE'), ('Melngailis', 'PERSON'), ('Tennessee', 'GPE'), ('2016', 'DATE'), ('2017', 'DATE')]"
"John Watts Young (September 24, 1930 – January 5, 2018) was an American astronaut, naval officer and aviator, test pilot, and aeronautical engineer. He became the ninth person to walk on the Moon as commander of the Apollo 16 mission in 1972. He is the only astronaut to fly on four different classes of spacecraft: Gemini, the Apollo command and service module, the Apollo Lunar Module and the Space Shuttle. Before becoming an astronaut, Young received his Bachelor of Science degree in Aeronautical Engineering from the Georgia Institute of Technology and joined the U.S. Navy. After serving at sea during the Korean War he became a naval aviator and graduated from the U.S. Naval Test Pilot School. As a test pilot, he set several world time-to-climb records. Young retired from the Navy in 1976 with the rank of captain. In 1962, Young was selected as a member of NASA Astronaut Group 2. He flew on the first crewed Gemini mission (Gemini 3) in 1965, and then commanded the 1966 Gemini 10 mission. In 1969, he flew as the command module pilot on Apollo 10. In 1972, he commanded Apollo 16 and spent three days on the lunar surface exploring the Descartes Highlands with Charles Duke. Young also commanded STS-1 in 1981, the Space Shuttle program's first launch, and STS-9 in 1983, both of which were on Columbia. He was one of only two astronauts, along with Ken Mattingly, his command module pilot during the Apollo 16 mission, to fly on both an Apollo mission and a Space Shuttle mission, and the only astronaut to walk on the moon and fly on the Space Shuttle. Young served as Chief of the Astronaut Office from 1974 to 1987, and retired from NASA in 2004, after 42 years of service.",Astronauts,"[('Paul Scott', 'PERSON'), ('April 28, 1956', 'DATE'), ('American', 'NORP'), ('United States', 'ORG'), ('Air Force', 'ORG'), ('NASA', 'ORG'), ('two', 'CARDINAL')]","[('Paul Scott "" Paco "" Lockhart', 'PERSON'), ('April 28 , 1956', 'DATE'), ('American', 'NORP'), ('United States Air Force', 'ORG'), ('NASA', 'ORG'), ('two', 'CARDINAL'), ('Space Shuttle', 'ORG')]"
"Jon Andrew McBride (born August 14, 1943), is a retired NASA astronaut and American naval officer. Over the course of his career with the United States Navy, McBride served as an aviator, a fighter pilot, a test pilot, and an aeronautical engineer. He had achieved the rank of captain when he retired in 1989. McBride was also an astronaut with NASA, a role in which he piloted STS-41-G, and would have been commander of STS-61-E had the mission not been cancelled in the wake of the Challenger disaster.",Astronauts,"[('Robert Michael ""Bob"" White', 'PERSON'), ('July 6, 1924 – March 17, 2010', 'DATE'), ('Maj Gen', 'PERSON'), ('American', 'NORP'), ('one', 'CARDINAL'), ('twelve', 'CARDINAL'), ('the North American X-15', 'ORG'), ('the Air Force', 'ORG'), ('NASA', 'ORG'), ('July 17, 1962', 'DATE'), ('X-15', 'PRODUCT'), ('above 50 miles', 'QUANTITY'), ('the United States', 'GPE')]","[('Robert Michael "" Bob "" White', 'PERSON'), ('July 6 , 1924', 'DATE'), ('March 17 , 2010', 'DATE'), ('Maj Gen', 'WORK_OF_ART'), ('USAF', 'ORG'), ('American', 'NORP'), ('one', 'CARDINAL'), ('twelve', 'CARDINAL'), ('the North American X-15', 'ORG'), ('the Air Force', 'ORG'), ('NASA', 'ORG'), ('July 17 , 1962', 'DATE'), ('X-15', 'FAC'), ('50 miles', 'QUANTITY'), ('United States', 'GPE')]"
"Joseph Albert Walker (February 20, 1921 – June 8, 1966) (Capt, USAF) was an American World War II pilot, experimental physicist, NASA test pilot, and astronaut who was the first person to fly an airplane to space. He was one of twelve pilots who flew the North American X-15, an experimental spaceplane jointly operated by the Air Force and NASA. In 1963, Walker made three flights above 50 miles, thereby qualifying as an astronaut according to the United States definition of the boundary of space. The latter two, X-15 Flights 90 and 91, also surpassed the Kármán line, the internationally accepted boundary of 100 kilometers (62.14 miles). Making the latter flights immediately after the completion of the Mercury and Vostok programs, Walker became the first person to fly to space twice. He was the only X-15 pilot to fly above 100 km during the program. Walker died in a group formation accident on June 8, 1966.",Astronauts,"[('David McDowell Brown', 'PERSON'), ('April 16, 1956', 'DATE'), ('February 1, 2003', 'DATE'), ('United States', 'ORG'), ('Navy', 'ORG'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('the Space Shuttle Columbia', 'ORG'), ('Earth', 'LOC'), ('1996', 'DATE'), ('Columbia', 'ORG'), ('Brown', 'PERSON'), ('the Congressional Space Medal of Honor', 'ORG')]","[('David McDowell Brown', 'PERSON'), ('April 16 , 1956', 'DATE'), ('February 1 , 2003', 'DATE'), ('United States', 'GPE'), ('Navy', 'ORG'), ('NASA', 'ORG'), ('first', 'ORDINAL'), ('Space Shuttle Columbia', 'PRODUCT'), ('STS-107', 'PRODUCT'), ('Earth', 'LOC'), ('Brown', 'PERSON'), ('1996', 'DATE'), ('Columbia', 'GPE'), ('Brown', 'PERSON'), ('the Congressional Space Medal of Honor', 'WORK_OF_ART')]"
"Joseph Michael ""Joe"" Acabá (born May 17, 1967) is a Puerto Rican educator, hydrogeologist, and NASA astronaut. In May 2004 he became the first person of Puerto Rican heritage to be named as a NASA astronaut candidate, when he was selected as a member of NASA Astronaut Training Group 19. He completed his training on February 10, 2006, and was assigned to STS-119, which flew from March 15 to 28, 2009, to deliver the final set of solar arrays to the International Space Station. Acabá served as a flight engineer aboard the International Space Station, having launched on May 15, 2012. He arrived at the space station on May 17 and returned to Earth on September 17, 2012. Acaba returned to the International Space Station in 2017 as a member of Expedition 53/54.",Astronauts,"[('Thomas Hylton', 'PERSON'), ('Bill"" Collins', 'PERSON'), ('11 July 1931', 'DATE'), ('March 2021', 'DATE'), ('British', 'NORP'), ('George Elton', 'PERSON'), ('Norman Chamberlain', 'PERSON'), ('Chorleywood', 'ORG'), ('the British Baking Industries Research Association', 'ORG'), ('Chorleywood', 'GPE'), ('Elizabeth II', 'PERSON'), ('Silver Jubilee Medal', 'PERSON'), ('1978', 'DATE')]","[('Thomas Hylton "" Bill "" Collins', 'PERSON'), ('11 July 1931', 'DATE'), ('3 March 2021', 'DATE'), ('British', 'NORP'), ('George Elton', 'PERSON'), ('Norman Chamberlain', 'PERSON'), ('Chorleywood', 'ORG'), ('the British Baking Industries Research Association', 'ORG'), ('Chorleywood', 'GPE'), ('the Queen Elizabeth II Silver Jubilee Medal', 'WORK_OF_ART'), ('1978', 'DATE')]"
"Joseph Percival ""Joe"" Allen IV (born June 27, 1937) is a former NASA astronaut. He logged more than 3,000 hours flying time in jet aircraft.",Astronauts,"[('Björn Frantzén', 'PERSON'), ('26 January 1977', 'DATE'), ('Frantzén', 'GPE'), ('Stockholm', 'GPE'), ('Zén', 'PERSON'), ('Singapore', 'GPE'), ('three', 'CARDINAL'), ('the Michelin Guide', 'ORG'), ('Stockholm', 'GPE'), ('Asia', 'LOC')]","[('Björn Frantzén', 'PERSON'), ('26 January 1977', 'DATE'), ('Frantzén', 'ORG'), ('Frantzén', 'ORG'), ('Stockholm', 'GPE'), ('Zén', 'GPE'), ('Singapore', 'GPE'), ('three', 'CARDINAL'), ('Michelin Guide', 'PRODUCT'), ('Stockholm', 'GPE'), ('Asia', 'LOC')]"
